<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
Western Balkan Route,Italy,drowning or exhaustion related death,starved,2003,1,3Q2003,gorizia
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,1,3Q2003,fuerteventura
Central Mediterranean Route,Libya,drowning or exhaustion related death,drowned,2003,21,3Q2003,libya
Western African Route,Morocco,drowning or exhaustion related death,drowned,2003,25,3Q2003,aiun
Unknown,,drowning or exhaustion related death,asphyxiated,2003,1,3Q2003,vienna
Unknown,,drowning or exhaustion related death,drowned,2003,2,3Q2003,england
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,30,3Q2003,tarifa
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,5,3Q2003,tarifa
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,8,3Q2003,"Motril, spain"
Western Mediterranean Route,Spain,drowning or exhaustion related death,starved,2003,2,3Q2003,"Motril, spain"
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,1,3Q2003,fuerteventura
Unknown,,malicious intent related death / manslaughter,murdered,2003,1,3Q2003,harmondsworth
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,18,3Q2003,fuerteventura
Central Mediterranean Route,Lampedusa,unknown - supposedly exhaustion related death,unknown,2003,3,2Q2003,lampedusa
Central Mediterranean Route,Sardinia,drowning or exhaustion related death,drowned,2003,9,2Q2003,capo
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,2Q2003,ceuta
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,2,2Q2003,tarifa
Central Mediterranean Route,Tunisia,drowning or exhaustion related death,drowned,2003,189,2Q2003,sfax
Central Mediterranean Route,Tunisia,drowning or exhaustion related death,drowned,2003,20,2Q2003,sfax
Central Mediterranean Route,Libya,drowning or exhaustion related death,died from dehydration,2003,200,2Q2003,tripoli
Unknown,,drowning or exhaustion related death,drowned,2003,1,2Q2003,"Eastbourne, UK"
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,63,2Q2003,lampedusa
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,3,2Q2003,lampedusa
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,4,2Q2003,lampedusa
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,30,2Q2003,tarifa
Western African Route,"Las Palmas, Spain",unknown - supposedly exhaustion related death,unknown,2003,9,2Q2003,fuerteventura
Unknown,UK,suicide,suicide - hanged,2003,1,2Q2003,"Blackburn, UK"
Unknown,,"violent accidental death (transport, blown in minefield...)",burned,2003,4,2Q2003,mayotte
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2003,2,2Q2003,salobre
Western Mediterranean Route,Algeria,drowning or exhaustion related death,drowned,2003,5,2Q2003,kacem
Western Mediterranean Route,Algeria,drowning or exhaustion related death,drowned,2003,4,2Q2003,kacem
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,3,2Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,15,2Q2003,fuerteventura
Unknown,Netherlands,unknown - supposedly exhaustion related death,unknown,2003,1,2Q2003,"Boxmeer, Netherlands"
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,4,2Q2003,lampedusa
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,6,2Q2003,salobre
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,2,2Q2003,salobre
Unknown,,suicide,suicide - other,2003,1,2Q2003,Great Britain
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2003,1,2Q2003,cadiz
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,2,2Q2003,lanzarote
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,2,2Q2003,"Bahia Feliz, Spain"
Unknown,,suicide,suicide - hanged,2003,1,2Q2003,"Heatherwood Hospital, UK"
Eastern Mediterranean Route,Greece,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2003,2,1Q2003,Thrace
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,starved,2003,13,1Q2003,hierro
Eastern Mediterranean Route,Greece,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2003,2,1Q2003,evros
Unknown,Netherlands,suicide,suicide - put on fire,2003,1,1Q2003,"Diever, Netherlands"
Central Mediterranean Route,Malta,suicide,suicide - hanged,2003,1,1Q2003,Valetta
Unknown,,unknown - supposedly exhaustion related death,unknown,2003,1,1Q2003,heathrow
Western Mediterranean Route,Morocco,authorities related death,shot by the police,2003,1,1Q2003,morocco
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,1,1Q2003,lampedusa
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2003,5,1Q2003,evia
Unknown,Germany,suicide,suicide - put on fire,2003,1,1Q2003,"Biedenkopf, Germany"
Unknown,,suicide,suicide - put on fire,2003,1,1Q2003,"Manchester, UK"
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,1Q2003,ceuta
Unknown,,unknown - supposedly exhaustion related death,unknown,2003,7,1Q2003,mayotte
Eastern Borders Route,Slovakia,drowning or exhaustion related death,hypothermia,2003,1,1Q2003,slovakia
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,died from dehydration,2003,12,1Q2003,fuerteventura
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2003,1,1Q2003,paris
Unknown,UK,"violent accidental death (transport, blown in minefield...)",car accident,2003,1,1Q2003,dover
Unknown,France,"violent accidental death (transport, blown in minefield...)",car accident,2003,1,1Q2003,calais
Unknown,,suicide,suicide - hanged,2003,1,1Q2003,"Emmen, Netherlands"
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,starved,2003,12,1Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,15,1Q2003,fuerteventura
Central Mediterranean Route,Sicily,unknown - supposedly exhaustion related death,unknown,2003,9,1Q2003,sicily
Unknown,,"violent accidental death (transport, blown in minefield...)",fall,2003,1,1Q2003,"Sartrouville, France"
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,2,1Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,9,1Q2003,fuerteventura
Unknown,,"violent accidental death (transport, blown in minefield...)",fall,2003,1,1Q2003,"Stockport, UK"
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,1Q2003,ceuta
Unknown,,drowning or exhaustion related death,lack of medical care,2003,1,4Q2003,congo
Unknown,,drowning or exhaustion related death,lack of medical care,2003,2,4Q2003,congo
Unknown,,suicide,suicide - put on fire,2003,1,4Q2003,london
Unknown,Switzerland,drowning or exhaustion related death,drowned,2003,1,4Q2003,"Dalem, Switzerland"
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2003,51,4Q2003,"Rhodes, Greece"
Eastern Mediterranean Route,Turkey,drowning or exhaustion related death,drowned,2003,7,4Q2003,"Marmaris, Turkey"
Eastern Mediterranean Route,Turkey,drowning or exhaustion related death,drowned,2003,2,4Q2003,Turkey to Greece
Central Mediterranean Route,Libya,drowning or exhaustion related death,drowned,2003,1,4Q2003,tripoli
Western Mediterranean Route,Cameroon,drowning or exhaustion related death,asphyxiated,2003,1,4Q2003,cameroon
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,10,4Q2003,granada
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,1,4Q2003,lampedusa
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,15,4Q2003,fuerteventura
Unknown,,drowning or exhaustion related death,lack of medical care,2003,1,4Q2003,"Oberberen, Switzerland"
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,5,4Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,9,4Q2003,fuerteventura
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,4Q2003,ceuta
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,4Q2003,cadiz
Unknown,,drowning or exhaustion related death,drowned,2003,2,4Q2003,libyan
Central Mediterranean Route,Pantelleria,unknown - supposedly exhaustion related death,unknown,2003,1,4Q2003,pantelleria
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,2,4Q2003,"Motril, spain"
Central Mediterranean Route,Tunisia,"violent accidental death (transport, blown in minefield, etc)",crushed,2003,1,4Q2003,tunis
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,2,4Q2003,cadiz
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,4Q2003,ceuta
Unknown,,drowning or exhaustion related death,hypothermia,2003,1,4Q2003,eisenstadt
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,11,4Q2003,cadiz
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,37,4Q2003,cadiz
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,37,4Q2003,"Rota, Spain"
Central Mediterranean Route,Tunisia,drowning or exhaustion related death,drowned,2003,22,4Q2003,tunis
Central Mediterranean Route,Tunisia,drowning or exhaustion related death,drowned,2003,5,4Q2003,tunis
Central Mediterranean Route,Tunisia,drowning or exhaustion related death,drowned,2003,6,4Q2003,tunis
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,starved,2003,13,4Q2003,lampedusa
Unknown,UK,suicide,suicide - hanged,2003,1,4Q2003,"Belmarsh prison, UK"
Central Mediterranean Route,Libya,drowning or exhaustion related death,starved,2003,50,4Q2003,libya
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,starved,2003,12,4Q2003,lampedusa
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,starved,2003,1,4Q2003,lampedusa
Western Mediterranean Route,Morocco,drowning or exhaustion related death,drowned,2003,4,4Q2003,larache
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,starved,2003,1,4Q2003,lampedusa
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,8,4Q2003,lampedusa
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,starved,2003,2,4Q2003,lampedusa
Central Mediterranean Route,Lampedusa,unknown - supposedly exhaustion related death,unknown,2003,11,4Q2003,lampedusa
Central Mediterranean Route,Pantelleria,drowning or exhaustion related death,hypothermia,2003,1,4Q2003,pantelleria
Unknown,,unknown - supposedly exhaustion related death,unknown,2003,1,4Q2003,paris
Unknown,UK,suicide,suicide - hanged,2003,1,4Q2003,bedford
Western Mediterranean Route,Africa,drowning or exhaustion related death,drowned,2003,11,4Q2003,Africa to Spain
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,2,4Q2003,tirajana
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,1,4Q2003,lampedusa
Western Mediterranean Route,Spain,authorities related death,shot by the police,2003,1,4Q2003,ceuta
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2003,5,4Q2003,evia
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,10,1Q2003,tarifa
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,7,1Q2003,tarifa
Western Mediterranean Route,Spain,malicious intent related death / manslaughter,burned or asphyxiated due to arson attack,2003,3,1Q2003,malaga
Western Mediterranean Route,Spain,malicious intent related death / manslaughter,burned or asphyxiated due to arson attack,2003,1,1Q2003,malaga
Unknown,,suicide,suicide - hanged,2003,1,1Q2003,haslar
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2003,2,1Q2003,france
Apulia and Calabria Route,Italy,unknown - supposedly exhaustion related death,unknown,2003,29,1Q2003,leuca
Western African Route,Canary Islands,drowning or exhaustion related death,drowned,2003,26,1Q2003,canary
Western African Route,"Las Palmas, Spain",unknown - supposedly exhaustion related death,unknown,2003,4,1Q2003,fuerteventura
Western Mediterranean Route,Morocco,drowning or exhaustion related death,drowned,2003,18,1Q2003,tangier
Apulia and Calabria Route,Italy,drowning or exhaustion related death,hypothermia,2003,6,1Q2003,leuca
Apulia and Calabria Route,Italy,drowning or exhaustion related death,hypothermia,2003,23,1Q2003,leuca
Unknown,,authorities related death,police violence,2003,1,1Q2003,paris
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2003,2,1Q2003,"Motril, spain"
Unknown,,drowning or exhaustion related death,asphyxiated,2003,1,1Q2003,paris
Western Mediterranean Route,Morocco,drowning or exhaustion related death,drowned,2003,19,1Q2003,tanger
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,1Q2003,ceuta
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,14,1Q2003,fuerteventura
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2003,1,1Q2003,ceuta
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,2,1Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,2,1Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,10,1Q2003,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,12,1Q2003,fuerteventura
Unknown,Netherlands,drowning or exhaustion related death,lack of medical care,2003,1,1Q2003,amsterdam
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2003,2,1Q2003,cadiz
Unknown,,drowning or exhaustion related death,hypothermia,2003,1,1Q2003,kastoria
Unknown,,drowning or exhaustion related death,starved,2003,1,1Q2003,sahara
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,1,1Q2003,cadiz
Unknown,Netherlands,unknown - supposedly exhaustion related death,unknown,2003,1,1Q2003,amsterdam
Western Mediterranean Route,Morocco,drowning or exhaustion related death,drowned,2003,13,1Q2003,larache
Western Mediterranean Route,Morocco,drowning or exhaustion related death,drowned,2003,17,1Q2003,larache
Unknown,,suicide,suicide - hanged,2003,1,1Q2003,"Polmont Prison, UK"
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2003,5,1Q2003,algesiras
Western Mediterranean Route,Spain,"violent accidental death (transport, blown in minefield, etc)",fall,2003,1,1Q2003,algeciras
Central Mediterranean Route,Tunisia,unknown - supposedly exhaustion related death,unknown,2003,3,1Q2003,tunis
Central Mediterranean Route,Tunisia,unknown - supposedly exhaustion related death,unknown,2003,1,1Q2003,tunis
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2003,2,1Q2003,"La Coruna, Spain"
Unknown,,drowning or exhaustion related death,drowned,2003,3,1Q2003,havre
Central Mediterranean Route,Tunisia,drowning or exhaustion related death,drowned,2003,2,1Q2003,tunis
Unknown,,suicide,suicide - hanged,2003,1,1Q2003,glasgow
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,10,1Q2003,fuerteventura
Western Mediterranean Route,Africa,malicious intent related death / manslaughter,murdered,2003,13,1Q2003,Africa to Spain
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,9,1Q2003,barbate
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,15,1Q2003,fuerteventura
Eastern Mediterranean Route,Aegean,unknown - supposedly exhaustion related death,unknown,2003,6,1Q2003,symi
Eastern Mediterranean Route,Greece,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2003,2,1Q2003,evros
Unknown,Channel,unknown - supposedly exhaustion related death,unknown,2003,2,1Q2003,Channel
Unknown,,suicide,suicide - put on fire,2003,1,1Q2003,"GâˆšÂºtersloh, Germany"
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,2,1Q2003,ceuta
Western Balkan Route,Slovenia,drowning or exhaustion related death,asphyxiated,2003,1,1Q2003,slovenia
Eastern Borders Route,Slovakia,unknown - supposedly exhaustion related death,unknown,2003,1,1Q2003,slovakia
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2003,1,1Q2003,melilla
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2003,1,1Q2003,lampedusa
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,10,1Q2003,lanzarote
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,76,1Q2003,tarifa
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2003,12,1Q2003,teguise
Eastern Mediterranean Route,Greece,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2003,1,1Q2003,Thrace
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2003,3,1Q2003,melilla
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2003,7,1Q2003,tarifa
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2003,2,1Q2003,"Almeria, Spain"
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2003,1,1Q2003,granada
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2002,2,3Q2002,almeria
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,10,3Q2002,lesbos
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,3,3Q2002,lesbos
Unknown,,authorities related death,police violence,2002,1,3Q2002,iran
Central Mediterranean Route,Catania,drowning or exhaustion related death,drowned,2002,15,3Q2002,scoglitti
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,1,3Q2002,paris
Central Mediterranean Route,Sicily,drowning or exhaustion related death,drowned,2002,1,3Q2002,sicily
Central Mediterranean Route,Sardinia,drowning or exhaustion related death,drowned,2002,36,3Q2002,capo
Unknown,,suicide,suicide - hanged,2002,1,3Q2002,Germany
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2002,1,3Q2002,algeciras
Apulia and Calabria Route,Greece,unknown - supposedly exhaustion related death,unknown,2002,2,3Q2002,Greece to Italy
Western Mediterranean Route,Spain,suicide,suicide - hanged,2002,1,3Q2002,malaga
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,2,3Q2002,tarifa
Unknown,,suicide,suicide - under train,2002,1,3Q2002,"Stadtallendorf, Germany"
Eastern Mediterranean Route,Turkey,drowning or exhaustion related death,hypothermia,2002,1,3Q2002,edirne
Unknown,,drowning or exhaustion related death,asphyxiated,2002,5,3Q2002,napels
Eastern Mediterranean Route,Turkey,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2002,1,3Q2002,"Vyssa, Turkey"
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2002,9,3Q2002,fuerteventura
Unknown,,drowning or exhaustion related death,asphyxiated,2002,4,3Q2002,paris
Western Mediterranean Route,Morocco,unknown - supposedly exhaustion related death,unknown,2002,26,3Q2002,hoceima
Unknown,,unknown - supposedly exhaustion related death,unknown,2002,1,3Q2002,mayotte
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,14,3Q2002,barbate
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,2,3Q2002,barbate
Eastern Mediterranean Route,Turkey,drowning or exhaustion related death,drowned,2002,1,3Q2002,menderes
Apulia and Calabria Route,Italy,drowning or exhaustion related death,drowned,2002,4,3Q2002,puglia
Apulia and Calabria Route,Italy,drowning or exhaustion related death,drowned,2002,1,3Q2002,puglia
Unknown,,unknown - supposedly exhaustion related death,unknown,2002,34,3Q2002,mayotte
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,13,3Q2002,tarifa
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,heart failure,2002,1,3Q2002,fuerteventura
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,1,3Q2002,paris
Apulia and Calabria Route,Albania,unknown - supposedly exhaustion related death,unknown,2002,15,3Q2002,vlora
Apulia and Calabria Route,Albania,drowning or exhaustion related death,drowned,2002,7,3Q2002,vlora
Western African Route,"Las Palmas, Spain",unknown - supposedly exhaustion related death,unknown,2002,5,3Q2002,fuerteventura
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2002,1,3Q2002,fuerteventura
Eastern Mediterranean Route,Greece,unknown - supposedly exhaustion related death,unknown,2002,7,3Q2002,athens
Unknown,,unknown - supposedly exhaustion related death,unknown,2002,1,3Q2002,venice
Unknown,UK,suicide,suicide - hanged,2002,1,3Q2002,bristol
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,heart failure,2002,1,3Q2002,fuerteventura
Central Mediterranean Route,Lampedusa,unknown - supposedly exhaustion related death,unknown,2002,47,3Q2002,lampedusa
Central Mediterranean Route,Lampedusa,drowning or exhaustion related death,drowned,2002,12,3Q2002,lampedusa
Western Mediterranean Route,Spain,unknown - supposedly exhaustion related death,unknown,2002,1,3Q2002,ceuta
Apulia and Calabria Route,Italy,drowning or exhaustion related death,asphyxiated,2002,2,3Q2002,brindisi
Eastern Mediterranean Route,Aegean,unknown - supposedly exhaustion related death,unknown,2002,12,2Q2002,kos
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,6,2Q2002,kos
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,5,2Q2002,kos
Western Mediterranean Route,Africa,drowning or exhaustion related death,drowned,2002,1,2Q2002,Africa to Spain
Eastern Mediterranean Route,Turkey,"violent accidental death (transport, blown in minefield, etc)",car accident,2002,1,2Q2002,Turkey to Greece
Unknown,Turkey,authorities related death,shot by the police,2002,2,2Q2002,"Aslanyazi, turkey"
Unknown,,drowning or exhaustion related death,lack of medical care,2002,1,2Q2002,"Vught, Netherlands"
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2002,3,2Q2002,lanzarote
Unknown,Turkey,authorities related death,shot by the police,2002,2,2Q2002,"Aslanyazi, turkey"
Central Mediterranean Route,Sicily,drowning or exhaustion related death,drowned,2002,10,2Q2002,sicily
Unknown,,drowning or exhaustion related death,drowned,2002,1,2Q2002,england
Eastern Mediterranean Route,Turkey,drowning or exhaustion related death,drowned,2002,2,2Q2002,izmir
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,1,2Q2002,melilla
Apulia and Calabria Route,Italy,drowning or exhaustion related death,drowned,2002,4,2Q2002,lecce
Unknown,,unknown - supposedly exhaustion related death,unknown,2002,45,2Q2002,sudan
Unknown,,drowning or exhaustion related death,hypothermia,2002,19,2Q2002,iran
Eastern Mediterranean Route,Turkey,drowning or exhaustion related death,drowned,2002,5,2Q2002,izmir
Eastern Mediterranean Route,Turkey,unknown - supposedly exhaustion related death,unknown,2002,5,2Q2002,izmir
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2002,1,2Q2002,melilla
Unknown,Cyprus,authorities related death,shot by the police,2002,1,2Q2002,Cyprus
Unknown,,"violent accidental death (transport, blown in minefield...)",car accident,2002,1,2Q2002,"Kâˆšâˆ‚prakâˆšâˆ‚y, Tukey"
Eastern Mediterranean Route,Cyprus,authorities related death,shot by the police,2002,1,2Q2002,cyprus
Western Balkan Route,Croatia,drowning or exhaustion related death,drowned,2002,8,2Q2002,Croatia
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,1,2Q2002,heathrow
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,1,2Q2002,heathrow
Apulia and Calabria Route,Italy,drowning or exhaustion related death,drowned,2002,11,2Q2002,sava
Apulia and Calabria Route,Italy,drowning or exhaustion related death,drowned,2002,1,2Q2002,sava
Unknown,,"violent accidental death (transport, blown in minefield...)",fall,2002,1,2Q2002,paris
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,2,2Q2002,tarifa
Unknown,France,malicious intent related death / manslaughter,shot,2002,1,2Q2002,calais
Western African Route,"Las Palmas, Spain",drowning or exhaustion related death,drowned,2002,11,2Q2002,lanzarote
Eastern Mediterranean Route,Aegean,unknown - supposedly exhaustion related death,unknown,2002,25,2Q2002,naxos
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,3,2Q2002,naxos
Unknown,UK,malicious intent related death / manslaughter,shot,2002,1,2Q2002,dover
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,1,2Q2002,heathrow
Unknown,,drowning or exhaustion related death,asphyxiated,2002,3,2Q2002,istanbul
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,1,2Q2002,london
Unknown,,malicious intent related death / manslaughter,murdered,2002,2,2Q2002,"Sunderland, UK"
Eastern Mediterranean Route,Bulgaria,drowning or exhaustion related death,hypothermia,2002,1,2Q2002,bulgaria
Unknown,,suicide,suicide - hanged,2002,1,1Q2002,schneckenstein
Eastern Mediterranean Route,Greece,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2002,1,1Q2002,evros
Unknown,,drowning or exhaustion related death,starved,2002,5,1Q2002,libya
Eastern Mediterranean Route,Greece,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,2002,2,1Q2002,evros
Western Mediterranean Route,Spain,"violent accidental death (transport, blown in minefield, etc)",fall,2002,1,1Q2002,melilla
Apulia and Calabria Route,Italy,unknown - supposedly exhaustion related death,unknown,2002,6,1Q2002,otranto
Central Mediterranean Route,Lampedusa,unknown - supposedly exhaustion related death,unknown,2002,59,1Q2002,lampedusa
Unknown,,authorities related death,shot by the police,2002,3,1Q2002,syria
Western Balkan Route,Italy,drowning or exhaustion related death,drowned,2002,1,1Q2002,gorizia
Unknown,Belgium,drowning or exhaustion related death,lack of medical care,2002,1,1Q2002,belgium
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,3,1Q2002,melilla
Unknown,,suicide,suicide - hanged,2002,1,1Q2002,"Lewes Prison, UK"
Unknown,France,"violent accidental death (transport, blown in minefield...)",crushed,2002,1,1Q2002,"Calais, France"
Unknown,,"violent accidental death (transport, blown in minefield...)",fall,2002,1,1Q2002,france
Eastern Mediterranean Route,Bulgaria,authorities related death,police violence,2002,1,1Q2002,bulgaria
Unknown,Germany,suicide,suicide - hanged,2002,1,1Q2002,"Allbruck, Germany"
Western Mediterranean Route,Spain,drowning or exhaustion related death,drowned,2002,4,1Q2002,tarifa
Unknown,,"violent accidental death (transport, blown in minefield...)",frozen,2002,2,1Q2002,heathrow
Unknown,,authorities related death,police violence,2002,1,1Q2002,kastoria
Unknown,UK,suicide,suicide - hanged,2002,1,1Q2002,"Durham, UK"
Eastern Mediterranean Route,Bulgaria,drowning or exhaustion related death,hypothermia,2002,1,1Q2002,bulgaria
Western Mediterranean Route,Spain,drowning or exhaustion related death,asphyxiated,2002,2,1Q2002,almeria
Apulia and Calabria Route,Italy,unknown - supposedly exhaustion related death,unknown,2002,1,1Q2002,lecce
Central Mediterranean Route,Italy,drowning or exhaustion related death,drowned,2002,1,1Q2002,italian coast
Unknown,agadez,drowning or exhaustion related death,asphyxiated,2002,1,4Q2002,agadez
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,1,4Q2002,symi
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,5,4Q2002,symi
Eastern Mediterranean Route,Aegean,drowning or exhaustion related death,drowned,2002,1,4Q2002,evia
Unknown,,suicide,suicide - other,2002,1,4Q2002,"Schloss Holte-Stukenbrock, Germany"
Unknown,,drowning or exhaustion related death,asphyxiated,2002,1,4Q2002,paris
Unknown,,suicide,suicide - put on fire,2002,1,4Q2002,"Gribskov, Denmark"
