Region,Code,DevelopmentLevel,YesNo
Japan,392,More Developed Regions,Y
Australia,36,More Developed Regions,Y
New Zealand,554,More Developed Regions,Y
Belarus,112,More Developed Regions,Y
Bulgaria,100,More Developed Regions,Y
Czechia,203,More Developed Regions,Y
Hungary,348,More Developed Regions,Y
Poland,616,More Developed Regions,Y
Republic of Moldova,498,More Developed Regions,Y
Romania,642,More Developed Regions,Y
Russian Federation,643,More Developed Regions,Y
Slovakia,703,More Developed Regions,Y
Ukraine,804,More Developed Regions,Y
Channel Islands,830,More Developed Regions,Y
Denmark,208,More Developed Regions,Y
Estonia,233,More Developed Regions,Y
Faroe Islands,234,More Developed Regions,Y
Finland,246,More Developed Regions,Y
Iceland,352,More Developed Regions,Y
Ireland,372,More Developed Regions,Y
Isle of Man,833,More Developed Regions,Y
Latvia,428,More Developed Regions,Y
Lithuania,440,More Developed Regions,Y
Norway,578,More Developed Regions,Y
Sweden,752,More Developed Regions,Y
United Kingdom,826,More Developed Regions,Y
Albania,8,More Developed Regions,Y
Andorra,20,More Developed Regions,Y
Bosnia and Herzegovina,70,More Developed Regions,Y
Croatia,191,More Developed Regions,Y
Gibraltar,292,More Developed Regions,Y
Greece,300,More Developed Regions,Y
Holy See,336,More Developed Regions,Y
Italy,380,More Developed Regions,Y
Malta,470,More Developed Regions,Y
Montenegro,499,More Developed Regions,Y
North Macedonia,807,More Developed Regions,Y
Portugal,620,More Developed Regions,Y
San Marino,674,More Developed Regions,Y
Serbia,688,More Developed Regions,Y
Slovenia,705,More Developed Regions,Y
Spain,724,More Developed Regions,Y
Austria,40,More Developed Regions,Y
Belgium,56,More Developed Regions,Y
France,250,More Developed Regions,Y
Germany,276,More Developed Regions,Y
Liechtenstein,438,More Developed Regions,Y
Luxembourg,442,More Developed Regions,Y
Monaco,492,More Developed Regions,Y
Netherlands,528,More Developed Regions,Y
Switzerland,756,More Developed Regions,Y
Bermuda,60,More Developed Regions,Y
Canada,124,More Developed Regions,Y
