Year,Code,Destination,Gender,AgeGroup,InternationalMigrantStocks,TotalPopulation,IMSPercentageofTotalPop
1990,108,Burundi,bothsexes,0_4,22459,1096535,2.0%
1990,174,Comoros,bothsexes,0_4,600,75107,0.8%
1990,262,Djibouti,bothsexes,0_4,5415,107065,5.1%
1990,232,Eritrea,bothsexes,0_4,718,403753,0.2%
1990,231,Ethiopia,bothsexes,0_4,77249,9056989,0.9%
1990,404,Kenya,bothsexes,0_4,17663,4508258,0.4%
1990,450,Madagascar,bothsexes,0_4,1241,2092168,0.1%
1990,454,Malawi,bothsexes,0_4,167574,1726727,9.7%
1990,480,Mauritius,bothsexes,0_4,320,98179,0.3%
1990,175,Mayotte,bothsexes,0_4,938,18154,5.2%
1990,508,Mozambique,bothsexes,0_4,17900,2304883,0.8%
1990,638,Réunion,bothsexes,0_4,2240,67540,3.3%
1990,646,Rwanda,bothsexes,0_4,12499,1422331,0.9%
1990,690,Seychelles,bothsexes,0_4,192,8236,2.3%
1990,706,Somalia,bothsexes,0_4,87893,1339292,6.6%
1990,800,Uganda,bothsexes,0_4,48731,3434406,1.4%
1990,834,United Republic of Tanzania,bothsexes,0_4,41732,4551667,0.9%
1990,894,Zambia,bothsexes,0_4,19993,1482521,1.3%
1990,716,Zimbabwe,bothsexes,0_4,32030,1752525,1.8%
1990,24,Angola,bothsexes,0_4,1364,2314339,0.1%
1990,120,Cameroon,bothsexes,0_4,16662,2194377,0.8%
1990,140,Central African Republic,bothsexes,0_4,8176,487554,1.7%
1990,148,Chad,bothsexes,0_4,5024,1176812,0.4%
1990,178,Congo,bothsexes,0_4,9526,394151,2.4%
1990,180,Democratic Republic of the Congo,bothsexes,0_4,31187,6350660,0.5%
1990,226,Equatorial Guinea,bothsexes,0_4,264,72448,0.4%
1990,266,Gabon,bothsexes,0_4,12912,155325,8.3%
1990,678,Sao Tome and Principe,bothsexes,0_4,155,20387,0.8%
1990,72,Botswana,bothsexes,0_4,2598,209341,1.2%
1990,748,Eswatini,bothsexes,0_4,3640,146657,2.5%
1990,426,Lesotho,bothsexes,0_4,764,276785,0.3%
1990,516,Namibia,bothsexes,0_4,7212,241331,3.0%
1990,710,South Africa,bothsexes,0_4,29195,5429347,0.5%
1990,204,Benin,bothsexes,0_4,9601,920428,1.0%
1990,854,Burkina Faso,bothsexes,0_4,29050,1662881,1.7%
1990,132,Cabo Verde,bothsexes,0_4,403,62499,0.6%
1990,384,Côte d'Ivoire,bothsexes,0_4,60831,2132365,2.9%
1990,270,Gambia,bothsexes,0_4,11913,178379,6.7%
1990,288,Ghana,bothsexes,0_4,24070,2546174,0.9%
1990,324,Guinea,bothsexes,0_4,43097,1170804,3.7%
1990,624,Guinea-Bissau,bothsexes,0_4,2137,181375,1.2%
1990,430,Liberia,bothsexes,0_4,11798,366223,3.2%
1990,466,Mali,bothsexes,0_4,18396,1577351,1.2%
1990,478,Mauritania,bothsexes,0_4,14378,353347,4.1%
1990,562,Niger,bothsexes,0_4,6792,1616304,0.4%
1990,566,Nigeria,bothsexes,0_4,114528,16798897,0.7%
1990,686,Senegal,bothsexes,0_4,15101,1368364,1.1%
1990,694,Sierra Leone,bothsexes,0_4,23733,760355,3.1%
1990,768,Togo,bothsexes,0_4,11461,671216,1.7%
1990,12,Algeria,bothsexes,0_4,17329,3970827,0.4%
1990,818,Egypt,bothsexes,0_4,20060,8689371,0.2%
1990,434,Libya,bothsexes,0_4,32633,644143,5.1%
1990,504,Morocco,bothsexes,0_4,3979,3390723,0.1%
1990,729,Sudan,bothsexes,0_4,180557,3533681,5.1%
1990,788,Tunisia,bothsexes,0_4,1958,1066961,0.2%
1990,732,Western Sahara,bothsexes,0_4,127,31813,0.4%
1990,51,Armenia,bothsexes,0_4,15963,385616,4.1%
1990,31,Azerbaijan,bothsexes,0_4,10189,938590,1.1%
1990,48,Bahrain,bothsexes,0_4,11357,65927,17.2%
1990,196,Cyprus,bothsexes,0_4,1870,70178,2.7%
1990,268,Georgia,bothsexes,0_4,10404,464792,2.2%
1990,368,Iraq,bothsexes,0_4,2134,2983991,0.1%
1990,376,Israel,bothsexes,0_4,15375,477241,3.2%
1990,400,Jordan,bothsexes,0_4,176224,599473,29.4%
1990,414,Kuwait,bothsexes,0_4,109241,249005,43.9%
1990,422,Lebanon,bothsexes,0_4,66804,354309,18.9%
1990,512,Oman,bothsexes,0_4,14381,323175,4.4%
1990,634,Qatar,bothsexes,0_4,27980,51571,54.3%
1990,682,Saudi Arabia,bothsexes,0_4,429350,2695119,15.9%
1990,275,State of Palestine,bothsexes,0_4,13618,412138,3.3%
1990,760,Syrian Arab Republic,bothsexes,0_4,44093,2144860,2.1%
1990,792,Turkey,bothsexes,0_4,62864,6580999,1.0%
1990,784,United Arab Emirates,bothsexes,0_4,90205,229716,39.3%
1990,887,Yemen,bothsexes,0_4,16245,2544167,0.6%
1990,398,Kazakhstan,bothsexes,0_4,95920,1857597,5.2%
1990,417,Kyrgyzstan,bothsexes,0_4,21569,627933,3.4%
1990,762,Tajikistan,bothsexes,0_4,9954,938712,1.1%
1990,795,Turkmenistan,bothsexes,0_4,7113,580457,1.2%
1990,860,Uzbekistan,bothsexes,0_4,38362,3208345,1.2%
1990,4,Afghanistan,bothsexes,0_4,3693,2412475,0.2%
1990,50,Bangladesh,bothsexes,0_4,44906,15889546,0.3%
1990,64,Bhutan,bothsexes,0_4,736,88788,0.8%
1990,356,India,bothsexes,0_4,37623,121958628,0.0%
1990,364,Iran (Islamic Republic of),bothsexes,0_4,238567,9317780,2.6%
1990,462,Maldives,bothsexes,0_4,573,42515,1.3%
1990,524,Nepal,bothsexes,0_4,9937,3081762,0.3%
1990,586,Pakistan,bothsexes,0_4,35724,18442139,0.2%
1990,144,Sri Lanka,bothsexes,0_4,989,1779476,0.1%
1990,156,China,bothsexes,0_4,20053,134571284,0.0%
1990,344,"China, Hong Kong SAR",bothsexes,0_4,20253,367906,5.5%
1990,446,"China, Macao SAR",bothsexes,0_4,2473,35505,7.0%
1990,408,Dem. People's Republic of Korea,bothsexes,0_4,1910,1949570,0.1%
1990,392,Japan,bothsexes,0_4,49285,6780648,0.7%
1990,496,Mongolia,bothsexes,0_4,353,332055,0.1%
1990,410,Republic of Korea,bothsexes,0_4,2791,3118256,0.1%
1990,96,Brunei Darussalam,bothsexes,0_4,3521,34073,10.3%
1990,116,Cambodia,bothsexes,0_4,1470,1726331,0.1%
1990,360,Indonesia,bothsexes,0_4,36751,22253197,0.2%
