Region,Code,DevelopmentLevel,YesNo
Burundi,108,More Developed Regions,N
Comoros,174,More Developed Regions,N
Djibouti,262,More Developed Regions,N
Eritrea,232,More Developed Regions,N
Ethiopia,231,More Developed Regions,N
Kenya,404,More Developed Regions,N
Madagascar,450,More Developed Regions,N
Malawi,454,More Developed Regions,N
Mauritius,480,More Developed Regions,N
Mayotte,175,More Developed Regions,N
Mozambique,508,More Developed Regions,N
Réunion,638,More Developed Regions,N
Rwanda,646,More Developed Regions,N
Seychelles,690,More Developed Regions,N
Somalia,706,More Developed Regions,N
South Sudan,728,More Developed Regions,N
Uganda,800,More Developed Regions,N
United Republic of Tanzania,834,More Developed Regions,N
Zambia,894,More Developed Regions,N
Zimbabwe,716,More Developed Regions,N
Angola,24,More Developed Regions,N
Cameroon,120,More Developed Regions,N
Central African Republic,140,More Developed Regions,N
Chad,148,More Developed Regions,N
Congo,178,More Developed Regions,N
Democratic Republic of the Congo,180,More Developed Regions,N
Equatorial Guinea,226,More Developed Regions,N
Gabon,266,More Developed Regions,N
Sao Tome and Principe,678,More Developed Regions,N
Botswana,72,More Developed Regions,N
Eswatini,748,More Developed Regions,N
Lesotho,426,More Developed Regions,N
Namibia,516,More Developed Regions,N
South Africa,710,More Developed Regions,N
Benin,204,More Developed Regions,N
Burkina Faso,854,More Developed Regions,N
Cabo Verde,132,More Developed Regions,N
Côte d'Ivoire,384,More Developed Regions,N
Gambia,270,More Developed Regions,N
Ghana,288,More Developed Regions,N
Guinea,324,More Developed Regions,N
Guinea-Bissau,624,More Developed Regions,N
Liberia,430,More Developed Regions,N
Mali,466,More Developed Regions,N
Mauritania,478,More Developed Regions,N
Niger,562,More Developed Regions,N
Nigeria,566,More Developed Regions,N
Saint Helena,654,More Developed Regions,N
Senegal,686,More Developed Regions,N
Sierra Leone,694,More Developed Regions,N
Togo,768,More Developed Regions,N
Algeria,12,More Developed Regions,N
Egypt,818,More Developed Regions,N
Libya,434,More Developed Regions,N
Morocco,504,More Developed Regions,N
Sudan,729,More Developed Regions,N
Tunisia,788,More Developed Regions,N
Western Sahara,732,More Developed Regions,N
Armenia,51,More Developed Regions,N
Azerbaijan,31,More Developed Regions,N
Bahrain,48,More Developed Regions,N
Cyprus,196,More Developed Regions,N
Georgia,268,More Developed Regions,N
Iraq,368,More Developed Regions,N
Israel,376,More Developed Regions,N
Jordan,400,More Developed Regions,N
